,link,name,second
0,06N,MAGNA POLONIA SPÓŁKA AKCYJNA,06N (06MAGNA)
1,OCTAVA,OCTAVA SPÓŁKA AKCYJNA,08N (08OCTAVA)
2,11-BIT-STUDIOS,11 BIT STUDIOS SPÓŁKA AKCYJNA,11B (11BIT)
3,ATAL,ATAL SPÓŁKA AKCYJNA,1AT (ATAL)
4,4FUN-MEDIA,4FUN MEDIA SPÓŁKA AKCYJNA,4FM (4FUNMEDIA)
5,AAT,ALTA SPÓŁKA AKCYJNA,AAT (ALTA)
6,ABADONRE,ABADON REAL ESTATE SPÓŁKA AKCYJNA,ABA (ABADONRE)
7,ABC-DATA,ABC DATA SPÓŁKA AKCYJNA,ABC (ABCDATA)
8,ABE,AB SPÓŁKA AKCYJNA,ABE (ABPL)
9,ABM-SOLID,ABM SOLID SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,ABM (ABMSOLID)
10,ASSECO-BUSINESS-SOLUTIONS,ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA,ABS (ASSECOBS)
11,ACG,AC SPÓŁKA AKCYJNA,ACG (ACAUTOGAZ)
12,ASSECO-POLAND,ASSECO POLAND SPÓŁKA AKCYJNA,ACP (ASSECOPOL)
13,ACTION,ACTION SPÓŁKA AKCYJNA,ACT (ACTION)
14,ADIUVO-INVESTMENT,ADIUVO INVESTMENTS SPÓŁKA AKCYJNA,ADV (ADIUVO)
15,AGORA,AGORA SPÓŁKA AKCYJNA,AGO (AGORA)
16,AGROTON,AGROTON PUBLIC LIMITED,AGT (AGROTON)
17,ALCHEMIA,ALCHEMIA SPÓŁKA AKCYJNA,ALC (ALCHEMIA)
18,ALTUS,ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,ALI (ALTUSTFI)
19,ALL,AILLERON SPÓŁKA AKCYJNA,ALL (AILLERON)
20,ALIOR-BANK,ALIOR BANK SPÓŁKA AKCYJNA,ALR (ALIOR)
21,AMBRA,AMBRA SPÓŁKA AKCYJNA,AMB (AMBRA)
22,AMICA,AMICA WRONKI SPÓŁKA AKCYJNA,AMC (AMICA)
23,ALUMETAL,ALUMETAL SPÓŁKA AKCYJNA,AML (ALUMETAL)
24,APS-ENERGIA,APS ENERGIA SPÓŁKA AKCYJNA,APE (APSENERGY)
25,AMPLI,AMPLI SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,APL (AMPLI)
26,APLISENS,APLISENS SPÓŁKA AKCYJNA,APN (APLISENS)
27,APR,AUTO PARTNER SPÓŁKA AKCYJNA,APR (AUTOPARTN)
28,APATOR,APATOR SPÓŁKA AKCYJNA,APT (APATOR)
29,ARCUS,ARCUS SPÓŁKA AKCYJNA,ARC (ARCUS)
30,ARH,ARCHICOM SPÓŁKA AKCYJNA,ARH (ARCHICOM)
31,ARTERIA,ARTERIA SPÓŁKA AKCYJNA,ARR (ARTERIA)
32,ARTIFEX,ARTIFEX MUNDI SPÓŁKA AKCYJNA,ART (ARTIFEX)
33,ASBISC,ASBISC ENTERPRISES PLC,ASB (ASBIS)
34,ASSECO-SOUTH-EASTERN-EUROPE,ASSECO SOUTH EASTERN EUROPE SPÓŁKA AKCYJNA,ASE (ASSECOSEE)
35,ASM-GROUP,ASM GROUP SPÓŁKA AKCYJNA,ASM (ASMGROUP)
36,ASTARTA,ASTARTA HOLDING N.V.,AST (ASTARTA)
37,ARCTIC-PAPER,ARCTIC PAPER SPÓŁKA AKCYJNA,ATC (ARCTIC)
38,ATENDE,ATENDE SPÓŁKA AKCYJNA,ATD (ATENDE)
39,ATM-GRUPA,ATM GRUPA SPÓŁKA AKCYJNA,ATG (ATMGRUPA)
40,ATLAS-ESTATES,ATLAS ESTATES LIMITED,ATL (ATLASEST)
41,ATM,ATM SPÓŁKA AKCYJNA,ATM
42,ATLANTA-POLAND,ATLANTA POLAND SPÓŁKA AKCYJNA,ATP (ATLANTAPL)
43,ATREM,ATREM SPÓŁKA AKCYJNA,ATR (ATREM)
44,ATS,ATLANTIS SE,ATS (ATLANTIS)
45,ATT,GRUPA AZOTY SPÓŁKA AKCYJNA,ATT (GRUPAAZOTY)
46,AUGAGROUP,AUGA GROUP AB,AUG (AUGA)
47,AWBUD,AWBUD SPÓŁKA AKCYJNA,AWB (AWBUD)
48,AIRWAY-MEDIX,AIRWAY MEDIX SPÓŁKA AKCYJNA,AWM (AIRWAY)
49,BAHOLDING,BRITISH AUTOMOTIVE HOLDING SPÓŁKA AKCYJNA,BAH (BAHOLDING)
50,BALTONA,PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO BALTONA SPÓŁKA AKCYJNA,BAL (BALTONA)
51,BBI-DEVELOPMENT,BBI DEVELOPMENT SPÓŁKA AKCYJNA,BBD (BBIDEV)
52,BETACOM,BETACOM SPÓŁKA AKCYJNA,BCM (BETACOM)
53,BUDOPOL-WROCLAW,BUDOPOL-WROCŁAW SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,BDL (BUDOPOL)
54,BUDIMEX,BUDIMEX SPÓŁKA AKCYJNA,BDX (BUDIMEX)
55,ELEKTROCIEPLOWNIA-BEDZIN,ELEKTROCIEPŁOWNIA BĘDZIN SPÓŁKA AKCYJNA,BDZ (BEDZIN)
56,BENEFIT-SYSTEMS,BENEFIT SYSTEMS SPÓŁKA AKCYJNA,BFT (BENEFIT)
57,BGZ-BNP-PARIBAS,BANK BGŻ BNP PARIBAS SPÓŁKA AKCYJNA,BGZ (BGZBNPP)
58,BANK-HANDLOWY,BANK HANDLOWY W WARSZAWIE SPÓŁKA AKCYJNA,BHW (HANDLOWY)
59,BIK,BIURO INWESTYCJI KAPITALOWYCH SPÓŁKA AKCYJNA,BIK
60,BIOTON,BIOTON SPÓŁKA AKCYJNA,BIO (BIOTON)
61,BKM,POLSKI BANK KOMÓREK MACIERZYSTYCH SPÓŁKA AKCYJNA,BKM (PBKM)
62,BUMECH,BUMECH SPÓŁKA AKCYJNA,BMC (BUMECH)
63,BIOMED-LUBLIN,BIOMED-LUBLIN WYTWÓRNIA SUROWIC I SZCZEPIONEK SPÓŁKA AKCYJNA W RESTRUKTURYZACJI,BML (BIOMEDLUB)
64,BANK-OCHRONY-SRODOWISKA,BANK OCHRONY ŚRODOWISKA SPÓŁKA AKCYJNA,BOS
65,BOWIM,BOWIM SPÓŁKA AKCYJNA,BOW (BOWIM)
66,BRASTER,BRASTER SPÓŁKA AKCYJNA,BRA (BRASTER)
67,BERLING,BERLING SPÓŁKA AKCYJNA,BRG (BERLING)
68,BORYSZEW,BORYSZEW SPÓŁKA AKCYJNA,BRS (BORYSZEW)
69,BSC-DRUKARNIA-OPAKOWAN,BSC DRUKARNIA OPAKOWAŃ SPÓŁKA AKCYJNA,BSC (BSCDRUK)
70,BEST,BEST SPÓŁKA AKCYJNA,BST (BEST)
71,BUWOG,BUWOG AG,BWO (BUWOG)
72,INTER-CARS,INTER CARS SPÓŁKA AKCYJNA,CAR (INTERCARS)
73,CCC,CCC SPÓŁKA AKCYJNA,CCC
74,CLEAN-CARBON-ENERGY,CLEAN&amp;amp;CARBON ENERGY SPÓŁKA AKCYJNA,CCE (CCENERGY)
75,CDL,CDRL SPÓŁKA AKCYJNA,CDL (CDRL)
76,CD-PROJEKT,CD PROJEKT SPÓŁKA AKCYJNA,CDR (CDPROJEKT)
77,CEZ,ČEZ. A.S.,CEZ
78,CFI-HOLDING,CFI HOLDING SPÓŁKA AKCYJNA,CFI
79,CHEMOSERVIS-DWORY,CHEMOSERVIS-DWORY SPÓŁKA AKCYJNA,CHS (CHEMOS)
80,CIECH,CIECH SPÓŁKA AKCYJNA,CIE (CIECH)
81,CI-GAMES,CI GAMES SPÓŁKA AKCYJNA,CIG (CIGAMES)
82,COAL-ENERGY,COAL ENERGY S.A.,CLE (COALENERG)
83,CLNPHARMA,CELON PHARMA SPÓŁKA AKCYJNA,CLN (CLNPHARMA)
84,COMP,COMP SPÓŁKA AKCYJNA,CMP (COMP)
85,COMARCH,COMARCH SPÓŁKA AKCYJNA,CMR (COMARCH)
86,CERAMIKA-NOWA-GALA,CERAMIKA NOWA GALA SPÓŁKA AKCYJNA,CNG (NOWAGALA)
87,CENTRUM-NOWOCZESNYCH-TECHNOLOGII,CENTRUM NOWOCZESNYCH TECHNOLOGII SPÓŁKA AKCYJNA,CNT
88,COGNOR,COGNOR SPÓŁKA AKCYJNA,COG (COGNOR)
89,CAPITAL-PARTNERS,CAPITAL PARTNERS SPÓŁKA AKCYJNA,CPA (CAPITAL)
90,CPD,CPD SPÓŁKA AKCYJNA,CPD (CELTIC)
91,CAPITAL-PARK,CAPITAL PARK SPÓŁKA AKCYJNA,CPG (CPGROUP)
92,COMPERIA-PL,COMPERIA.PL SPÓŁKA AKCYJNA,CPL (COMPERIA)
93,CYFROWY-POLSAT,CYFROWY POLSAT SPÓŁKA AKCYJNA,CPS (CYFRPLSAT)
94,CORMAY,PZ CORMAY SPÓŁKA AKCYJNA,CRM (CORMAY)
95,CALATRAVA-CAPITAL,CALATRAVA CAPITAL SPÓŁKA AKCYJNA,CTC (CALATRAVA)
96,CUBE-ITG,CUBE.ITG SPÓŁKA AKCYJNA,CTG (CUBEITG)
97,CTS,CITY SERVICE SE,CTS (CITYSERV)
98,CZERWONA-TOREBKA,CZERWONA TOREBKA SPÓŁKA AKCYJNA,CZT (CZTOREBKA)
99,DAT,DATAWALK SPÓŁKA AKCYJNA,DAT (DATAWALK)
100,DATA,DATAWALK,DATA (DATAWALK-PDA)
101,DEBICA,FIRMA OPONIARSKA DĘBICA SPÓŁKA AKCYJNA,DBC (DEBICA)
102,DECORA,DECORA SPÓŁKA AKCYJNA,DCR (DECORA)
103,DEKPOL,DEKPOL SPÓŁKA AKCYJNA,DEK (DEKPOL)
104,DELKO,DELKO SPÓŁKA AKCYJNA,DEL (DELKO)
105,DGA,DGA SPÓŁKA AKCYJNA,DGA
106,DNP,DINO POLSKA SPÓŁKA AKCYJNA,DNP (DINOPL)
107,DOM-DEVELOPMENT,DOM DEVELOPMENT SPÓŁKA AKCYJNA,DOM (DOMDEV)
108,DROZAPOL-PROFIL,DROZAPOL-PROFIL SPÓŁKA AKCYJNA,DPL (DROZAPOL)
109,DREWEX,DREWEX SPÓŁKA AKCYJNA,DRE (DREWEX)
110,DROP,DROP SPÓŁKA AKCYJNA,DRP (DROP)
111,ESOTIQ-HENDERSON,ESOTIQ &amp;amp; HENDERSON SPÓŁKA AKCYJNA,EAH (ESOTIQ)
112,EAT,AMREST HOLDINGS SE,EAT (AMREST)
113,ECHO-INVESTMENT,ECHO INVESTMENT SPÓŁKA AKCYJNA,ECH (ECHO)
114,ED-INVEST,ED INVEST SPÓŁKA AKCYJNA,EDI (EDINVEST)
115,EKO-EXPORT,EKO EXPORT SPÓŁKA AKCYJNA,EEX (EKOEXPORT)
116,EFEKT,KORPORACJA GOSPODARCZA EFEKT SPÓŁKA AKCYJNA,EFK (EFEKT)
117,ERGIS-EUROFILMS,ERGIS SPÓŁKA AKCYJNA,EGS (ERGIS)
118,EUROHOLD-BULGARIA,EUROHOLD BULGARIA AD,EHG (EUROHOLD)
119,ELKOP,ELKOP SPÓŁKA AKCYJNA,EKP (ELKOP)
120,ELEKTROBUDOWA,ELEKTROBUDOWA SPÓŁKA AKCYJNA,ELB (ELBUDOWA)
121,ELEKTROTIM,ELEKTROTIM SPÓŁKA AKCYJNA,ELT (ELEKTROTI)
122,ELZAB,ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SPÓŁKA AKCYJNA,ELZ (ELZAB)
123,EMC,EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA,EMC (EMCINSMED)
124,ELEMENTAL-HOLDING,ELEMENTAL HOLDING SPÓLKA AKCYJNA,EMT (ELEMENTAL)
125,ENEA,ENEA SPÓŁKA AKCYJNA,ENA (ENEA)
126,ENEL-MED,CENTRUM MEDYCZNE ENEL-MED SPÓŁKA AKCYJNA,ENE (ENELMED)
127,ENERGA,ENERGA SPÓŁKA AKCYJNA,ENG (ENERGA)
128,ENERGOINSTAL,ENERGOINSTAL SPÓŁKA AKCYJNA,ENI (ENERGOINS)
129,ENERGOAPARATURA,ENERGOAPARATURA SPÓŁKA AKCYJNA,ENP (ENAP)
130,ENT,ENTER AIR SPÓŁKA AKCYJNA,ENT (ENTER)
131,ERBUD,ERBUD SPÓŁKA AKCYJNA,ERB (ERBUD)
132,ERG,ERG SPÓŁKA AKCYJNA,ERG
133,ES-SYSTEM,ES-SYSTEM SPÓŁKA AKCYJNA,ESS (ESSYSTEM)
134,EST,ENEFI ENERGIAHATÉKONYSÁGI NYRT.,EST (ESTAR)
135,EUROTEL,EUROTEL SPÓŁKA AKCYJNA,ETL (EUROTEL)
136,EUROPEJSKIE-CENTRUM-ODSZKODOWAN,EUROPEJSKIE CENTRUM ODSZKODOWAŃ SPÓŁKA AKCYJNA,EUC (EUCO)
137,EUROCASH,EUROCASH SPÓŁKA AKCYJNA,EUR (EUROCASH)
138,EVEREST-INVESTMENTS,EVEREST INVESTMENTS SPÓŁKA AKCYJNA,EVE (EVEREST)
139,FEERUM,FEERUM SPÓŁKA AKCYJNA,FEE (FEERUM)
140,FERRUM,FERRUM SPÓŁKA AKCYJNA,FER (FERRUM)
141,FAST-FINANCE,FAST FINANCE SPÓŁKA AKCYJNA,FFI (FASTFIN)
142,FENGHUA-SOLETECH,FENGHUA SOLETECH AG,FGT (FENGHUA)
143,FAMUR,FAMUR SPÓŁKA AKCYJNA,FMF (FAMUR)
144,FMG,FINANCIAL ASSETS MANAGEMENT GROUP SPÓŁKA AKCYJNA,FMG
145,FON,FON SE,FON
146,FERRO,FERRO SPÓŁKA AKCYJNA,FRO (FERRO)
147,FASING,FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING SPÓŁKA AKCYJNA,FSG (FASING)
