,Skrot,Nazwa,Druga,Sektor
0,06N,MAGNA POLONIA SPÓŁKA AKCYJNA,06N (06MAGNA),GPW: Finanse inne
1,OCTAVA,OCTAVA SPÓŁKA AKCYJNA,08N (08OCTAVA),GPW: Deweloperzy
2,11-BIT-STUDIOS,11 BIT STUDIOS SPÓŁKA AKCYJNA,11B (11BIT),GPW: Informatyka
3,ATAL,ATAL SPÓŁKA AKCYJNA,1AT (ATAL),GPW: Deweloperzy
4,4FUN-MEDIA,4FUN MEDIA SPÓŁKA AKCYJNA,4FM (4FUNMEDIA),GPW: Media
5,AAT,ALTA SPÓŁKA AKCYJNA,AAT (ALTA),GPW: Deweloperzy
6,ABADONRE,ABADON REAL ESTATE SPÓŁKA AKCYJNA,ABA (ABADONRE),GPW: Budownictwo
7,ABC-DATA,ABC DATA SPÓŁKA AKCYJNA,ABC (ABCDATA),GPW: Handel hurtowy
8,ABE,AB SPÓŁKA AKCYJNA,ABE (ABPL),GPW: Handel hurtowy
9,ABM-SOLID,ABM SOLID SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,ABM (ABMSOLID),GPW: Budownictwo
10,ASSECO-BUSINESS-SOLUTIONS,ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA,ABS (ASSECOBS),GPW: Informatyka
11,ACG,AC SPÓŁKA AKCYJNA,ACG (ACAUTOGAZ),GPW: Przemysł motoryzacyjny
12,ASSECO-POLAND,ASSECO POLAND SPÓŁKA AKCYJNA,ACP (ASSECOPOL),GPW: Informatyka
13,ACTION,ACTION SPÓŁKA AKCYJNA,ACT (ACTION),GPW: Handel hurtowy
14,ADIUVO-INVESTMENT,ADIUVO INVESTMENTS SPÓŁKA AKCYJNA,ADV (ADIUVO),GPW: Przemysł farmaceutyczny
15,AGORA,AGORA SPÓŁKA AKCYJNA,AGO (AGORA),GPW: Media
16,AGROTON,AGROTON PUBLIC LIMITED,AGT (AGROTON),GPW: Przemysł spożywczy
17,ALCHEMIA,ALCHEMIA SPÓŁKA AKCYJNA,ALC (ALCHEMIA),GPW: Przemysł metalowy
18,ALTUS,ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,ALI (ALTUSTFI),GPW: Rynek kapitałowy
19,ALL,AILLERON SPÓŁKA AKCYJNA,ALL (AILLERON),GPW: Informatyka
20,ALIOR-BANK,ALIOR BANK SPÓŁKA AKCYJNA,ALR (ALIOR),GPW: Banki
21,AMBRA,AMBRA SPÓŁKA AKCYJNA,AMB (AMBRA),GPW: Przemysł spożywczy
22,AMICA,AMICA WRONKI SPÓŁKA AKCYJNA,AMC (AMICA),GPW: Przemysł elektromaszynowy
23,ALUMETAL,ALUMETAL SPÓŁKA AKCYJNA,AML (ALUMETAL),GPW: Przemysł metalowy
24,APS-ENERGIA,APS ENERGIA SPÓŁKA AKCYJNA,APE (APSENERGY),GPW: Przemysł elektromaszynowy
25,AMPLI,AMPLI SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,APL (AMPLI),GPW: Handel hurtowy
26,APLISENS,APLISENS SPÓŁKA AKCYJNA,APN (APLISENS),GPW: Przemysł elektromaszynowy
27,APR,AUTO PARTNER SPÓŁKA AKCYJNA,APR (AUTOPARTN),GPW: Przemysł motoryzacyjny
28,APATOR,APATOR SPÓŁKA AKCYJNA,APT (APATOR),GPW: Przemysł elektromaszynowy
29,ARCUS,ARCUS SPÓŁKA AKCYJNA,ARC (ARCUS),GPW: Informatyka
30,ARH,ARCHICOM SPÓŁKA AKCYJNA,ARH (ARCHICOM),GPW: Deweloperzy
31,ARTERIA,ARTERIA SPÓŁKA AKCYJNA,ARR (ARTERIA),GPW: Usługi inne
32,ARTIFEX,ARTIFEX MUNDI SPÓŁKA AKCYJNA,ART (ARTIFEX),GPW: Informatyka
33,ASBISC,ASBISC ENTERPRISES PLC,ASB (ASBIS),GPW: Handel hurtowy
34,ASSECO-SOUTH-EASTERN-EUROPE,ASSECO SOUTH EASTERN EUROPE SPÓŁKA AKCYJNA,ASE (ASSECOSEE),GPW: Informatyka
35,ASM-GROUP,ASM GROUP SPÓŁKA AKCYJNA,ASM (ASMGROUP),GPW: Media
36,ASTARTA,ASTARTA HOLDING N.V.,AST (ASTARTA),GPW: Przemysł spożywczy
37,ARCTIC-PAPER,ARCTIC PAPER SPÓŁKA AKCYJNA,ATC (ARCTIC),GPW: Usługi inne
38,ATENDE,ATENDE SPÓŁKA AKCYJNA,ATD (ATENDE),GPW: Informatyka
39,ATM-GRUPA,ATM GRUPA SPÓŁKA AKCYJNA,ATG (ATMGRUPA),GPW: Media
40,ATLAS-ESTATES,ATLAS ESTATES LIMITED,ATL (ATLASEST),GPW: Deweloperzy
41,ATM,ATM SPÓŁKA AKCYJNA,ATM,GPW: Telekomunikacja
42,ATLANTA-POLAND,ATLANTA POLAND SPÓŁKA AKCYJNA,ATP (ATLANTAPL),GPW: Handel hurtowy
43,ATREM,ATREM SPÓŁKA AKCYJNA,ATR (ATREM),GPW: Usługi inne
44,ATS,ATLANTIS SE,ATS (ATLANTIS),GPW: Finanse inne
45,ATT,GRUPA AZOTY SPÓŁKA AKCYJNA,ATT (GRUPAAZOTY),GPW: Przemysł chemiczny
46,AUGAGROUP,AUGA GROUP AB,AUG (AUGA),GPW: Przemysł spożywczy
47,AWBUD,AWBUD SPÓŁKA AKCYJNA,AWB (AWBUD),GPW: Budownictwo
48,AIRWAY-MEDIX,AIRWAY MEDIX SPÓŁKA AKCYJNA,AWM (AIRWAY),GPW: Przemysł farmaceutyczny
