,Skrot,Sektor
0,06N,GPW: Finanse inne
1,OCTAVA,GPW: Deweloperzy
2,11-BIT-STUDIOS,GPW: Informatyka
3,ATAL,GPW: Deweloperzy
4,4FUN-MEDIA,GPW: Media
5,AAT,GPW: Deweloperzy
6,ABADONRE,GPW: Budownictwo
7,ABC-DATA,GPW: Handel hurtowy
8,ABE,GPW: Handel hurtowy
9,ABM-SOLID,GPW: Budownictwo
10,ASSECO-BUSINESS-SOLUTIONS,GPW: Informatyka
11,ACG,GPW: Przemysł motoryzacyjny
12,ASSECO-POLAND,GPW: Informatyka
13,ACTION,GPW: Handel hurtowy
14,ADIUVO-INVESTMENT,GPW: Przemysł farmaceutyczny
15,AGORA,GPW: Media
16,AGROTON,GPW: Przemysł spożywczy
17,ALCHEMIA,GPW: Przemysł metalowy
18,ALTUS,GPW: Rynek kapitałowy
19,ALL,GPW: Informatyka
20,ALIOR-BANK,GPW: Banki
21,AMBRA,GPW: Przemysł spożywczy
22,AMICA,GPW: Przemysł elektromaszynowy
23,ALUMETAL,GPW: Przemysł metalowy
24,APS-ENERGIA,GPW: Przemysł elektromaszynowy
25,AMPLI,GPW: Handel hurtowy
26,APLISENS,GPW: Przemysł elektromaszynowy
27,APR,GPW: Przemysł motoryzacyjny
28,APATOR,GPW: Przemysł elektromaszynowy
29,ARCUS,GPW: Informatyka
30,ARH,GPW: Deweloperzy
31,ARTERIA,GPW: Usługi inne
32,ARTIFEX,GPW: Informatyka
33,ASBISC,GPW: Handel hurtowy
34,ASSECO-SOUTH-EASTERN-EUROPE,GPW: Informatyka
35,ASM-GROUP,GPW: Media
36,ASTARTA,GPW: Przemysł spożywczy
37,ARCTIC-PAPER,GPW: Usługi inne
38,ATENDE,GPW: Informatyka
39,ATM-GRUPA,GPW: Media
40,ATLAS-ESTATES,GPW: Deweloperzy
41,ATM,GPW: Telekomunikacja
42,ATLANTA-POLAND,GPW: Handel hurtowy
43,ATREM,GPW: Usługi inne
44,ATS,GPW: Finanse inne
45,ATT,GPW: Przemysł chemiczny
46,AUGAGROUP,GPW: Przemysł spożywczy
47,AWBUD,GPW: Budownictwo
48,AIRWAY-MEDIX,GPW: Przemysł farmaceutyczny
49,BAHOLDING,GPW: Usługi inne
50,BALTONA,GPW: Handel detaliczny
51,BBI-DEVELOPMENT,GPW: Deweloperzy
52,BETACOM,GPW: Informatyka
53,BUDOPOL-WROCLAW,GPW: Budownictwo
54,BUDIMEX,GPW: Budownictwo
55,ELEKTROCIEPLOWNIA-BEDZIN,GPW: Energetyka
56,BENEFIT-SYSTEMS,GPW: Usługi inne
57,BGZ-BNP-PARIBAS,GPW: Banki
58,BANK-HANDLOWY,GPW: Banki
59,BIK,GPW: Deweloperzy
60,BIOTON,GPW: Przemysł farmaceutyczny
61,BKM,GPW: Usługi inne
62,BUMECH,GPW: Przemysł elektromaszynowy
63,BIOMED-LUBLIN,GPW: Przemysł farmaceutyczny
64,BANK-OCHRONY-SRODOWISKA,GPW: Banki
65,BOWIM,GPW: Handel hurtowy
66,BRASTER,GPW: Usługi inne
67,BERLING,GPW: Handel hurtowy
68,BORYSZEW,GPW: Przemysł metalowy
69,BSC-DRUKARNIA-OPAKOWAN,GPW: Usługi inne
70,BEST,GPW: Finanse inne
71,BUWOG,GPW: Deweloperzy
72,INTER-CARS,GPW: Przemysł motoryzacyjny
73,CCC,GPW: Handel detaliczny
74,CLEAN-CARBON-ENERGY,GPW: Handel detaliczny
75,CDL,GPW: Handel detaliczny
76,CD-PROJEKT,GPW: Informatyka
77,CEZ,GPW: Energetyka
78,CFI-HOLDING,GPW: Budownictwo
79,CHEMOSERVIS-DWORY,GPW: Usługi inne
80,CIECH,GPW: Przemysł chemiczny
81,CI-GAMES,GPW: Informatyka
82,COAL-ENERGY,GPW: Przemysł surowcowy
83,CLNPHARMA,GPW: Przemysł farmaceutyczny
84,COMP,GPW: Informatyka
85,COMARCH,GPW: Informatyka
86,CERAMIKA-NOWA-GALA,GPW: Przemysł materiałów budowlanych
87,CENTRUM-NOWOCZESNYCH-TECHNOLOGII,GPW: Budownictwo
88,COGNOR,GPW: Przemysł metalowy
89,CAPITAL-PARTNERS,GPW: Finanse inne
90,CPD,GPW: Deweloperzy
91,CAPITAL-PARK,GPW: Deweloperzy
92,COMPERIA-PL,GPW: Media
93,CYFROWY-POLSAT,GPW: Telekomunikacja
94,CORMAY,GPW: Przemysł farmaceutyczny
95,CALATRAVA-CAPITAL,GPW: Finanse inne
96,CUBE-ITG,GPW: Informatyka
97,CTS,GPW: Usługi inne
98,CZERWONA-TOREBKA,GPW: Deweloperzy
99,DAT,GPW: Informatyka
100,DEBICA,GPW: Przemysł motoryzacyjny
101,DECORA,GPW: Przemysł materiałów budowlanych
102,DEKPOL,GPW: Budownictwo
103,DELKO,GPW: Handel hurtowy
104,DGA,GPW: Usługi inne
105,DNP,GPW: Handel detaliczny
106,DOM-DEVELOPMENT,GPW: Deweloperzy
107,DROZAPOL-PROFIL,GPW: Handel hurtowy
108,DREWEX,GPW: Przemysł drzewny
109,DROP,GPW: Usługi inne
110,ESOTIQ-HENDERSON,GPW: Handel detaliczny
111,EAT,GPW: Hotele i restauracje
112,ECHO-INVESTMENT,GPW: Deweloperzy
113,ED-INVEST,GPW: Deweloperzy
114,EKO-EXPORT,GPW: Przemysł inne
115,EFEKT,GPW: Usługi inne
116,ERGIS-EUROFILMS,GPW: Przemysł tworzyw sztucznych
117,EUROHOLD-BULGARIA,GPW: Finanse inne
118,ELKOP,GPW: Deweloperzy
119,ELEKTROBUDOWA,GPW: Budownictwo
120,ELEKTROTIM,GPW: Budownictwo
121,ELZAB,GPW: Informatyka
122,EMC,GPW: Usługi inne
123,ELEMENTAL-HOLDING,GPW: Usługi inne
124,ENEA,GPW: Energetyka
125,ENEL-MED,GPW: Usługi inne
126,ENERGA,GPW: Energetyka
127,ENERGOINSTAL,GPW: Przemysł elektromaszynowy
128,ENERGOAPARATURA,GPW: Budownictwo
129,ENT,GPW: Usługi inne
130,ERBUD,GPW: Budownictwo
131,ERG,GPW: Przemysł tworzyw sztucznych
132,ES-SYSTEM,GPW: Usługi inne
133,EST,GPW: Energetyka
134,EUROTEL,GPW: Handel detaliczny
135,EUROPEJSKIE-CENTRUM-ODSZKODOWAN,GPW: Finanse inne
136,EUROCASH,GPW: Handel detaliczny
137,EVEREST-INVESTMENTS,GPW: Finanse inne
138,FEERUM,GPW: Przemysł metalowy
139,FERRUM,GPW: Przemysł metalowy
140,FAST-FINANCE,GPW: Finanse inne
141,FENGHUA-SOLETECH,GPW: Przemysł tworzyw sztucznych
142,FAMUR,GPW: Przemysł elektromaszynowy
143,FMG,GPW: Finanse inne
144,FON,GPW: Finanse inne
145,FERRO,GPW: Przemysł materiałów budowlanych
146,FASING,GPW: Przemysł metalowy
147,FORTE,GPW: Przemysł drzewny
148,GBK,GPW: Finanse inne
149,GROCLIN,GPW: Przemysł motoryzacyjny
150,IMMOBILE,GPW: Konglomeraty
151,GLOBAL-COSMED,GPW: Przemysł farmaceutyczny
152,GETIN-NOBLE-BANK,GPW: Banki
153,GOBARTO,GPW: Przemysł spożywczy
154,GPR,GPW: Deweloperzy
155,GPW,GPW: Rynek kapitałowy
156,GINO-ROSSI,GPW: Handel detaliczny
157,GRODNO,GPW: Handel hurtowy
158,GTC,GPW: Deweloperzy
159,GETIN-HOLDING,GPW: Banki
160,HYDROTOR,GPW: Przemysł elektromaszynowy
161,HELIO,GPW: Przemysł spożywczy
162,HOLLYWOOD,GPW: Usługi inne
163,HARPER-HYGIENICS,GPW: Przemysł farmaceutyczny
164,HERKULES,GPW: Budownictwo
165,HUBSTYLE,GPW: Media
166,I2D,GPW: Deweloperzy
167,IALBGR,GPW: Usługi inne
168,IBSM,GPW: Deweloperzy
169,IDEA-BANK,GPW: Banki
170,IDEON,GPW: Energetyka
171,INDYGOTECH-MINERALS,GPW: Finanse inne
172,IDM,GPW: Rynek kapitałowy
173,INDATA-SOFTWARE,GPW: Informatyka
174,IFC,GPW: Finanse inne
175,IFI,GPW: Informatyka
176,IFR,GPW: Finanse inne
177,IIA,GPW: Deweloperzy
178,INDUSTRIAL-MILK-COMPANY,GPW: Przemysł spożywczy
179,IMPERA,GPW: Finanse inne
180,IMS,GPW: Usługi inne
181,INC,GPW: Finanse inne
182,INDYKPOL,GPW: Przemysł spożywczy
183,INTERFERIE,GPW: Hotele i restauracje
184,ING-BANK-SLASKI,GPW: Banki
185,INSTAL-KRAKOW,GPW: Budownictwo
186,INTROL,GPW: Przemysł elektromaszynowy
187,INPRO,GPW: Deweloperzy
188,INVISTA,GPW: Finanse inne
189,IPOPEMA,GPW: Rynek kapitałowy
190,INTERNATIONAL-PERSONAL-FINANCE-PLC,GPW: Finanse inne
191,IMPEL,GPW: Usługi inne
192,INTERSPPL,GPW: Handel detaliczny
193,IPX,GPW: Przemysł metalowy
194,IQ-PARTNERS,GPW: Finanse inne
195,INTER-RAO-LIETUVA,GPW: Energetyka
196,INTERBUD-LUBLIN,GPW: Budownictwo
197,ITM,GPW: Handel detaliczny
198,IZOBLOK,GPW: Przemysł tworzyw sztucznych
199,IZOLACJA-JAROCIN,GPW: Przemysł materiałów budowlanych
200,IZOSTAL,GPW: Przemysł metalowy
201,JHM-DEVELOPMENT,GPW: Deweloperzy
202,JJ-AUTO,GPW: Przemysł motoryzacyjny
203,JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,GPW: Przemysł surowcowy
204,JW-CONSTRUCTION,GPW: Deweloperzy
205,JWW-INVEST,GPW: Przemysł elektromaszynowy
206,K2-INTERNET,GPW: Media
207,HENRYK-KANIA,GPW: Przemysł spożywczy
208,KBD,GPW: Przemysł materiałów budowlanych
209,KRAKCHEMIA,GPW: Przemysł tworzyw sztucznych
210,KCI,GPW: Media
211,KDM-SHIPPING-PUBLIC-LIMITED,GPW: Usługi inne
212,KERNEL,GPW: Przemysł spożywczy
213,KGHM,GPW: Przemysł surowcowy
214,KGL,GPW: Przemysł tworzyw sztucznych
215,KOGENERACJA,GPW: Energetyka
216,KOMPAP,GPW: Usługi inne
217,KOMPUTRONIK,GPW: Handel detaliczny
218,KPD,GPW: Przemysł drzewny
219,KINO-POLSKA-TV,GPW: Media
220,KRYNICKI-RECYKLING,GPW: Przemysł inne
221,KREDYT-INKASO,GPW: Finanse inne
222,KRKA,GPW: Przemysł farmaceutyczny
223,KRUK,GPW: Finanse inne
224,KSG-AGRO,GPW: Przemysł spożywczy
225,KONSORCJUM-STALI,GPW: Handel hurtowy
226,KRUSZWICA,GPW: Przemysł spożywczy
227,KETY,GPW: Przemysł metalowy
228,KVT,GPW: Przemysł spożywczy
229,KREZUS,GPW: Finanse inne
230,LABO-PRINT,GPW: Usługi inne
231,LIBET,GPW: Przemysł materiałów budowlanych
232,LUBAWA,GPW: Przemysł lekki
233,LC-CORP,GPW: Deweloperzy
234,LENA-LIGHTING,GPW: Przemysł elektromaszynowy
235,LKD,GPW: Deweloperzy
236,LPP,GPW: Handel detaliczny
237,LARK-PL,GPW: Informatyka
238,CAM-MEDIA,GPW: Usługi inne
239,LSI-SOFTWARE,GPW: Informatyka
240,LOTOS,GPW: Przemysł paliwowy
241,LENTEX,GPW: Przemysł materiałów budowlanych
242,LIVECHAT,GPW: Informatyka
243,BOGDANKA,GPW: Przemysł surowcowy
244,MABION,GPW: Przemysł farmaceutyczny
245,MAKARONY-POLSKIE,GPW: Przemysł spożywczy
246,MBANK,GPW: Banki
247,MBR,GPW: Przemysł inne
248,MBW,GPW: Przemysł spożywczy
249,MCI,GPW: Finanse inne
250,MEDIACAP,GPW: Media
251,MERCOR,GPW: Przemysł materiałów budowlanych
252,MEDICALGORITHMICS,GPW: Informatyka
253,MDI,GPW: Budownictwo
254,MEGARON,GPW: Przemysł materiałów budowlanych
255,MEX-POLSKA,GPW: Hotele i restauracje
256,MFO,GPW: Przemysł materiałów budowlanych
257,MGT,GPW: Przemysł metalowy
258,BANK-MILLENNIUM,GPW: Banki
259,MIRACULUM,GPW: Przemysł farmaceutyczny
260,MLP-GROUP,GPW: Deweloperzy
261,MILKILAND,GPW: Przemysł spożywczy
